Question,Option A,Option B,Option C,Option D,Correct Answer
What is the capital of France?,Paris,Berlin,London,Madrid,1
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,2
What is the largest mammal on Earth?,Elephant,Blue Whale,Giraffe,Lion,2
Who wrote "Romeo and Juliet"?,Charles Dickens,William Shakespeare,Jane Austen,Mark Twain,2
What is the powerhouse of the cell?,Nucleus,Mitochondria,Endoplasmic Reticulum,Cytoplasm,2
Which country is known as the Land of the Rising Sun?,China,India,Japan,Thailand,3
What is the currency of Brazil?,Peso,Dollar,Real,Euro,3
In which year did the Titanic sink?,1908,1912,1920,1931,2
Who discovered penicillin?,Marie Curie,Alexander Fleming,Albert Einstein,Isaac Newton,2
How many continents are there on Earth?,5,6,7,8,2
